Frame Number,Left Eye EAR,Right Eye EAR,Average EAR,Eye State
1,0.3275756546432835,0.3229762499298496,0.3252759522865665,Opened Eyes
2,0.28608459051510127,0.33144004533285043,0.30876231792397585,Opened Eyes
3,0.278976226691531,0.3016997293433648,0.2903379780174479,Opened Eyes
4,0.28994174536097,0.292021001012798,0.290981373186884,Opened Eyes
5,0.27879847820155745,0.3174687546376714,0.29813361641961444,Opened Eyes
6,0.28930867953195805,0.3174687546376714,0.30338871708481474,Opened Eyes
7,0.278976226691531,0.33144004533285043,0.3052081360121907,Opened Eyes
8,0.278976226691531,0.322531640716646,0.3007539337040885,Opened Eyes
9,0.27958668302664963,0.3289773517645959,0.3042820173956228,Opened Eyes
10,0.31405435355412825,0.3400766814697274,0.3270655175119278,Opened Eyes
11,0.3152148042349553,0.32806248474865696,0.3216386444918061,Opened Eyes
12,0.31405435355412825,0.35338763537244955,0.3337209944632889,Opened Eyes
13,0.3152148042349553,0.3228437012911195,0.3190292527630374,Opened Eyes
14,0.3014713054020897,0.3190379450996814,0.31025462525088554,Opened Eyes
15,0.3002139667455288,0.3190379450996814,0.3096259559226051,Opened Eyes
16,0.3125884533250995,0.3228437012911195,0.31771607730810947,Opened Eyes
17,0.30355343278862656,0.346365413678566,0.3249594232335963,Opened Eyes
18,0.3016780049844141,0.31300827819793237,0.30734314159117326,Opened Eyes
19,0.31451554994561787,0.3016997293433648,0.30810763964449134,Opened Eyes
20,0.3394052777544089,0.3649612600146424,0.35218326888452567,Opened Eyes
21,0.3273227833485027,0.3701556119603852,0.34873919765444394,Opened Eyes
22,0.3261259867147923,0.3199734130582992,0.32304969988654575,Opened Eyes
23,0.3254038975950481,0.32419520833125237,0.3247995529631502,Opened Eyes
24,0.3381643036623381,0.3199734130582992,0.32906885836031863,Opened Eyes
25,0.3277033171756491,0.33207154371143005,0.3298874304435396,Opened Eyes
26,0.3261601379173926,0.3611855156434329,0.3436728267804128,Opened Eyes
27,0.3261601379173926,0.36377156015924444,0.3449658490383185,Opened Eyes
28,0.35177341252561045,0.36345086013578776,0.3576121363306991,Opened Eyes
29,0.3378019086025681,0.36377156015924444,0.35078673438090624,Opened Eyes
30,0.3268263824824149,0.3542453164192695,0.3405358494508422,Opened Eyes
31,0.325795338990243,0.3676955262170047,0.34674543260362384,Opened Eyes
32,0.32767770700345406,0.36377156015924444,0.34572463358134925,Opened Eyes
33,0.3261601379173926,0.33473416495229247,0.33044715143484255,Opened Eyes
34,0.291372696160875,0.3542453164192695,0.32280900629007225,Opened Eyes
35,0.2790262506142152,0.2940206455889051,0.28652344810156016,Opened Eyes
36,0.3021846067761925,0.2902083727220959,0.2961964897491442,Opened Eyes
37,0.2768624613434231,0.29355640436349817,0.2852094328534607,Opened Eyes
38,0.29116675641696427,0.29355640436349817,0.2923615803902312,Opened Eyes
39,0.28456017814579376,0.28580307486363804,0.2851816265047159,Opened Eyes
40,0.27046815642111954,0.3045597186440279,0.2875139375325737,Opened Eyes
41,0.258390360956083,0.2830736594276411,0.27073201019186205,Opened Eyes
42,0.29399162536506457,0.2922074067747128,0.2930995160698887,Closed Eyes
43,0.2759746396274204,0.2945633766491923,0.28526900813830636,Closed Eyes
44,0.292021001012798,0.2731734702195226,0.2825972356161603,Closed Eyes
45,0.27171431114454186,0.25970025953053527,0.26570728533753857,Closed Eyes
46,0.2788785979644493,0.2822935333574016,0.2805860656609255,Closed Eyes
47,0.2373779165351776,0.2745263574798307,0.25595213700750413,Closed Eyes
48,0.21408785344134945,0.291049731745428,0.2525687925933887,Closed Eyes
49,0.2625648301548791,0.31790203571843473,0.29023343293665693,Closed Eyes
